"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	3463	386756	895.397	912.592
	"Baldwin County, AL"	"01003"	13442	1367695	982.821	775.422
	"Barbour County, AL"	"01005"	1981	188194	1052.637	906.984
	"Bibb County, AL"	"01007"	1678	158522	1058.528	1000.645
	"Blount County, AL"	"01009"	4209	403793	1042.366	910.127
	"Bullock County, AL"	"01011"	840	74391	1129.169	991.005
	"Butler County, AL"	"01013"	1897	142617	1330.136	991.813
	"Calhoun County, AL"	"01015"	9793	816548	1199.317	1041.855
	"Chambers County, AL"	"01017"	3165	238422	1327.478	1008.908
	"Cherokee County, AL"	"01019"	2347	181891	1290.333	999.254
	"Chilton County, AL"	"01021"	3389	307123	1103.467	1006.076
	"Choctaw County, AL"	"01023"	1206	94013	1282.801	944.846
	"Clarke County, AL"	"01025"	2049	175908	1164.813	920.394
	"Clay County, AL"	"01027"	1293	95314	1356.569	984.118
	"Cleburne County, AL"	"01029"	1301	104655	1243.132	995.409
	"Coffee County, AL"	"01031"	3504	356010	984.242	861.142
	"Colbert County, AL"	"01033"	4943	381019	1297.311	980.168
	"Conecuh County, AL"	"01035"	1209	89938	1344.259	976.507
	"Coosa County, AL"	"01037"	995	76307	1303.943	1024.391
	"Covington County, AL"	"01039"	3558	264871	1343.295	955.240
	"Crenshaw County, AL"	"01041"	1234	97739	1262.546	986.636
	"Cullman County, AL"	"01043"	6727	567958	1184.419	989.461
	"Dale County, AL"	"01045"	3390	348898	971.631	889.543
	"Dallas County, AL"	"01047"	3730	294862	1264.999	1117.539
	"DeKalb County, AL"	"01049"	5396	497672	1084.248	989.271
	"Elmore County, AL"	"01051"	5185	565240	917.309	920.818
	"Escambia County, AL"	"01053"	3291	265641	1238.890	1057.810
	"Etowah County, AL"	"01055"	9639	726208	1327.306	1078.660
	"Fayette County, AL"	"01057"	1681	118494	1418.637	1069.464
	"Franklin County, AL"	"01059"	2751	221806	1240.273	1093.072
	"Geneva County, AL"	"01061"	2444	187332	1304.636	984.797
	"Greene County, AL"	"01063"	751	61040	1230.341	935.766
	"Hale County, AL"	"01065"	1281	107179	1195.197	944.785
	"Henry County, AL"	"01067"	1510	120872	1249.255	896.841
	"Houston County, AL"	"01069"	7317	723408	1011.462	871.833
